"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Salmonella_enterica_subsp_enterica_serovar_Agona_str_SL483_v1","Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SC-B67_v1","Salmonella_enterica_subsp_enterica_serovar_Dublin_str_CT_02021853_v1","Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_v1","Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91_v1","Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_SL476_v1","Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL254_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_ATCC_9150_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_C_strain_RKS4594_v1","Salmonella_enterica_subsp_enterica_serovar_Schwarzengrund_str_CVM19633_v1","Salmonella_enterica_subsp_enterica_serovar_Typhi_str_CT18_v1","Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2_v1"
"ubiG","","3-demethylubiquinone-9 3-O-methyltransferase","13","13","1","1","4716","","","","551","779","718","CP001138.4721","AE017220.4995","CP001144.5057","AM933172.7283___9685","AM933173.6921___28463","CP001120.4936","CP001113.4824","CP000026.1175","CP000886.1424___38863","CP000857.2896","CP001127.4889","AL513382.4890___53888","AE006468.6907"
"yfbB","","acyl-CoA thioester hydrolase YfbB","13","13","1","1","4680","","","","758","758","758","CP001138.4785","AE017220.5058","CP001144.5120","AM933172.7381___9824","AM933173.7018___28612","CP001120.5000","CP001113.4888","CP000026.1109","CP000886.1350___38789","CP000857.2830","CP001127.4952","AL513382.4968___53966","AE006468.7019"
"elaC","","ribonuclease Z","13","13","1","1","4675","","","","917","1025","940","CP001138.4795","AE017220.5068","CP001144.5130","AM933172.7391___9834","AM933173.7029___28623","CP001120.5010","CP001113.4898","CP000026.1099","CP000886.1340___38779","CP000857.2820","CP001127.4962","AL513382.4977___53975","AE006468.7035"
"yfbT","","putative phosphatase","13","13","1","1","4649","","","","659","698","668","CP001138.4844","AE017220.5113","CP001144.5178","AM933172.7478___9988","AM933173.7108___28769","CP001120.5052","CP001113.4940","CP000026.1059","CP000886.1288___38727","CP000857.2773","CP001127.5002","AL513382.5047___54045","AE006468.7102"
"STY2574","","PTS family enzyme IIA, mannitol-specific, cryptic","13","13","1","1","4637","","","","443","458","444","CP001138.4866","AE017220.5135","CP001144.5200","AM933172.7507___10038","AM933173.7136___28818","CP001120.5074","CP001113.4962","CP000026.1039","CP000886.1264___38703","CP000857.2751","CP001127.5024","AL513382.5070___54068","AE006468.7131"
"accD","","acetyl-CoA carboxylase, carboxyl transferase, beta subunit","13","13","1","1","4612","","","","704","992","903","CP001138.4912","AE017220.5182","CP001144.5248","AM933172.7585___10148","AM933173.7210___28916","CP001120.5120","CP001113.5010","CP000026.995","CP000886.1212___38651","CP000857.2703","CP001127.5070","AL513382.5143___54141","AE006468.7199"
"sixA","","phosphohistidine phosphatase","13","13","1","1","4591","","","","386","485","477","CP001138.4949","AE017220.5226","CP001144.5291","AM933172.7653___10243","AM933173.7271___29004","CP001120.5161","CP001113.5053","CP000026.953","CP000886.1166___38605","CP000857.2662","CP001127.5109","AL513382.5189___54187","AE006468.7264"
"yfeA","","diguanylate cyclase","13","13","1","1","4556","","","","802","2189","2070","CP001138.4998","AE017220.5280","CP001144.5348","AM933172.7756___10413","AM933173.7369___29169","CP001120.5238","CP001113.5104","CP000026.899","CP000886.1100___38539","CP000857.2511","CP001127.5162","AL513382.5268___54266","AE006468.7345"
"gltX","","glutamyl-tRNA synthetase","13","13","1","1","4553","","","","1304","1424","1407","CP001138.5008","AE017220.5292","CP001144.5358","AM933172.7767___10431","AM933173.7379___29180","CP001120.5248","CP001113.5114","CP000026.891","CP000886.1090___38529","CP000857.2501","CP001127.5172","AL513382.5274___54272","AE006468.7356"
"STY2671","","putative cytoplasmic protein","13","13","1","1","4535","","","","239","239","239","CP001138.5050","AE017220.5332","CP001144.5400","AM933172.7829___10516","AM933173.7436___29259","CP001120.5290","CP001113.5156","CP000026.861","CP000886.1044___38483","CP000857.2459","CP001127.5214","AL513382.5325___54323","AE006468.7418"
"yfeY","","putative outer membrane lipoprotein","13","13","1","1","4521","","","","404","575","561","CP001138.5076","AE017220.5361","CP001144.5426","AM933172.7872___10570","AM933173.7479___29313","CP001120.5316","CP001113.5182","CP000026.837","CP000886.1018___38457","CP000857.2431","CP001127.5240","AL513382.5361___54359","AE006468.7459"
"yfeZ","","inner membrane protein YfeZ","13","13","1","1","4520","","","","449","449","449","CP001138.5078","AE017220.5363","CP001144.5428","AM933172.7876___10574","AM933173.7481___29317","CP001120.5318","CP001113.5184","CP000026.835","CP000886.1016___38455","CP000857.2429","CP001127.5242","AL513382.5363___54361","AE006468.7462"
"ypeA","","acetyltransferase, GNAT family","13","13","1","1","4519","","","","425","560","454","CP001138.5080","AE017220.5365","CP001144.5430","AM933172.7878___10579","AM933173.7483___29322","CP001120.5320","CP001113.5186","CP000026.833","CP000886.1014___38453","CP000857.2427","CP001127.5244","AL513382.5364___54362","AE006468.7464"
"yffB","","protein YffB","13","13","1","1","4484","","","","356","356","356","CP001138.5143","AE017220.5440","CP001144.5493","AM933172.7979___10702","AM933173.7576___29429","CP001120.5383","CP001113.5249","CP000026.773","CP000886.938___38377","CP000857.2365","CP001127.5302","AL513382.5450___54448","AE006468.7562"
"gcvR","","glycine cleavage system transcriptional repressor","13","13","1","1","4476","","","","572","674","599","CP001138.5158","AE017220.5456","CP001144.5509","AM933172.8010___10733","AM933173.7604___29457","CP001120.5399","CP001113.5265","CP000026.757","CP000886.922___38361","CP000857.2349","CP001127.5320","AL513382.5476___54474","AE006468.7590"
"ppx","","exopolyphosphatase","13","13","1","1","4458","","","","1469","1580","1547","CP001138.5188","AE017220.5485","CP001144.5539","AM933172.8050___10800","AM933173.7640___29520","CP001120.5425","CP001113.5295","CP000026.729","CP000886.888___38327","CP000857.2319","CP001127.5352","AL513382.5505___54503","AE006468.7628"
"yfgJ","","conserved domain protein","13","13","1","1","4440","","","","221","221","221","CP001138.5223","AE017220.5519","CP001144.5564","AM933172.8115___10875","AM933173.7702___29594","CP001120.5449","CP001113.5321","CP000026.697","CP000886.852___38291","CP000857.2283","CP001127.5378","AL513382.5538___54536","AE006468.7673"
"yfhG","","conserved hypothetical protein","13","13","1","1","6737","","","","686","830","727","CP001138.5328","AE017220.5612","CP001144.5667","AM933172.8288___11096","AM933173.7865___29802","CP001120.5550","CP001113.5425","CP000026.605","CP000886.734___38173","CP000857.2185","CP001127.5475","AL513382.5697___54695","AE006468.7815"
"STY1394","","conserved hypothetical protein","13","13","1","1","5175","","","","596","845","814","CP001138.2902","AE017220.3651","CP001144.3215","AM933172.4472___5903","AM933173.4415___25023","CP001120.3635","CP001113.3521","CP000026.2427","CP000886.3187___40626","CP000857.4140","CP001127.3517","AL513382.2648___51646","AE006468.5034"
"yfhC","","tRNA-specific adenosine deaminase","13","13","1","1","6743","","","","518","551","535","CP001138.5343","AE017220.5622","CP001144.5680","AM933172.8307___11116","AM933173.7883___29821","CP001120.5565","CP001113.5438","CP000026.593","CP000886.720___38159","CP000857.2173","CP001127.5486","AL513382.5708___54706","AE006468.7831"
"yfjG","","polyketide cyclase/dehydrase family protein","13","13","1","1","4095","","","","389","476","466","CP001138.5544","AE017220.5893","CP001144.5811","AM933172.8513___11369","AM933173.8078___30063","CP001120.5695","CP001113.5687","CP000026.5091","CP000886.6802___44241","CP000857.5594","CP001127.5625","AL513382.5878___54876","AE006468.8176"
"mig-14","","Mig-14","13","13","1","1","9240","","","","797","896","888","CP001138.5662","AE017220.5951","CP001144.5936","AM933172.8576___11450","AM933173.8138___30143","CP001120.5800","CP001113.5838","CP000026.5272","CP000886.6907___44346","CP000857.5644","CP001127.5706","AL513382.5942___54940","AE006468.8442"
"ygaF","","putative FAD dependent oxidoreductase","13","13","1","1","9251","","","","731","1268","1226","CP001138.5681","AE017220.5969","CP001144.5955","AM933172.8607___11502","AM933173.8164___30186","CP001120.5823","CP001113.5858","CP000026.5290","CP000886.6931___44370","CP000857.5664","CP001127.5725","AL513382.5961___54959","AE006468.8466"
"stpA","","H-NS histone family","13","13","1","1","9263","","","","341","401","395","CP001138.5701","AE017220.5989","CP001144.5974","AM933172.8640___11548","AM933173.8196___30233","CP001120.5843","CP001113.5878","CP000026.5310","CP000886.6951___44390","CP000857.5684","CP001127.5744","AL513382.5988___54986","AE006468.8491"
"ygaC","","YgaC","13","13","1","1","9265","","","","329","401","352","CP001138.5707","AE017220.5993","CP001144.5980","AM933172.8645___11556","AM933173.8201___30242","CP001120.5849","CP001113.5884","CP000026.5314","CP000886.6959___44398","CP000857.5690","CP001127.5750","AL513382.5992___54990","AE006468.8500"
"yqaB","","HAD-superfamily hydrolase, subfamily IA","13","13","1","1","9291","","","","566","809","584","CP001138.5753","AE017220.6035","CP001144.6025","AM933172.8706___11648","AM933173.8259___30324","CP001120.5893","CP001113.5928","CP000026.5354","CP000886.7009___44448","CP000857.5728","CP001127.5794","AL513382.6038___55036","AE006468.8559"
"ygbD","","nitric oxide reductase FlRd-NAD","13","13","1","1","9312","","","","1133","1133","1133","CP001138.5797","AE017220.6085","CP001144.6067","AM933172.8766___11713","AM933173.8318___30388","CP001120.5937","CP001113.5970","CP000026.5394","CP000886.7065___44504","CP000857.5767","CP001127.5837","AL513382.6097___55095","AE006468.8624"
"hydN","","protein AegA","13","13","1","1","9314","","","","488","587","543","CP001138.5801","AE017220.6092","CP001144.6071","AM933172.8776___11723","AM933173.8327___30397","CP001120.5941","CP001113.5974","CP000026.5398","CP000886.7071___44510","CP000857.5771","CP001127.5841","AL513382.6103___55101","AE006468.8629"
"orgA","","type III secretion apparatus protein OrgA/MxiK","13","13","1","1","9344","","","","503","599","577","CP001138.5858","AE017220.6144","CP001144.6126","AM933172.8864___11845","AM933173.8409___30512","CP001120.6001","CP001113.6033","CP000026.5452","CP000886.7141___44580","CP000857.5827","CP001127.5898","AL513382.6189___55187","AE006468.8710"
"prgI","","type III secretion apparatus needle protein","13","13","1","1","9347","","","","242","242","242","CP001138.5864","AE017220.6150","CP001144.6132","AM933172.8870___11851","AM933173.8415___30518","CP001120.6007","CP001113.6039","CP000026.5458","CP000886.7147___44586","CP000857.5833","CP001127.5904","AL513382.6194___55192","AE006468.8719"
"prgH","","type III secretion apparatus protein PrgH/EprH","13","13","1","1","9348","","","","1064","1235","1129","CP001138.5866","AE017220.6152","CP001144.6134","AM933172.8871___11852","AM933173.8416___30519","CP001120.6009","CP001113.6041","CP000026.5460","CP000886.7149___44588","CP000857.5835","CP001127.5906","AL513382.6196___55194","AE006468.8722"
"invG","","type III secretion outer membrane pore, YscC/HrcC family","13","13","1","1","9374","","","","1544","1688","1633","CP001138.5913","AE017220.6200","CP001144.6180","AM933172.8938___11938","AM933173.8481___30603","CP001120.6054","CP001113.6087","CP000026.5508","CP000886.7201___44640","CP000857.5883","CP001127.5953","AL513382.6242___55240","AE006468.8790"
"kpdB","","4-hydroxybenzoate decarboxylase, subunit B","13","13","1","1","9397","","","","587","2021","702","CP001138.5956","AE017220.6250","CP001144.6222","AM933172.9006___12031","AM933173.8547___30695","CP001120.6097","CP001113.6133","CP000026.5552","CP000886.7265___44704","CP000857.5929","CP001127.5993","AL513382.6285___55283","AE006468.8857"
"kpdD","","4-hydroxybenzoate decarboxylase, subunit D","13","13","1","1","9399","","","","197","254","231","CP001138.5960","AE017220.6254","CP001144.6226","AM933172.9010___12035","AM933173.8551___30699","CP001120.6101","CP001113.6137","CP000026.5554","CP000886.7269___44708","CP000857.5932","CP001127.5997","AL513382.6288___55286","AE006468.8863"
"nlpD","","lipoprotein NlpD","13","13","1","1","9402","","","","947","1133","1105","CP001138.5970","AE017220.6263","CP001144.6230","AM933172.9018___12043","AM933173.8559___30707","CP001120.6105","CP001113.6141","CP000026.5558","CP000886.7272___44711","CP000857.5936","CP001127.6001","AL513382.6293___55291","AE006468.8868"
"ygbE","","YgbE","13","13","1","1","9409","","","","278","356","320","CP001138.5985","AE017220.6277","CP001144.6245","AM933172.9040___12065","AM933173.8581___30729","CP001120.6120","CP001113.6156","CP000026.5572","CP000886.7292___44731","CP000857.5952","CP001127.6016","AL513382.6310___55308","AE006468.8891"
"yqcC","","conserved hypothetical protein","13","13","1","1","2594","","","","329","386","337","CP001138.6081","AE017220.6365","CP001144.6330","AM933172.9153___12192","AM933173.8692___30860","CP001120.6215","CP001113.6248","CP000026.5654","CP000886.7371___44810","CP000857.6045","CP001127.6094","AL513382.6388___55386","AE006468.8993"
