ykgC	gproNOG.ENOG410QMIW.meta_raw
STY3037	gproNOG.ENOG410QQD3.meta_raw
yciT	gproNOG.ENOG410QMHX.meta_raw
group_204	gproNOG.ENOG410QT5H.meta_raw
gmk	gproNOG.ENOG410QJFV.meta_raw
ycaD	gproNOG.ENOG410QIEE.meta_raw
cysK	gproNOG.ENOG410QII0.meta_raw
STY4613	gproNOG.ENOG410QJZM.meta_raw
galR	gproNOG.ENOG410QIZW.meta_raw
yggV	gproNOG.ENOG410QJT6.meta_raw
yegH	gproNOG.ENOG410QJJW.meta_raw
group_1093	gproNOG.ENOG410R5CA.meta_raw
rfbF	gproNOG.ENOG410QK8W.meta_raw
asl	gproNOG.ENOG410QMIC.meta_raw
ynaI	gproNOG.ENOG410QK8S.meta_raw
sufD	gproNOG.ENOG410QK74.meta_raw
kup	gproNOG.ENOG410QHUC.meta_raw
STY4756	gproNOG.ENOG410R1FG.meta_raw
ybeC	gproNOG.ENOG410QVNA.meta_raw
cyoC	gproNOG.ENOG410R8JC.meta_raw
STY3946	gproNOG.ENOG410QJ9R.meta_raw
hisG	gproNOG.ENOG410QJKX.meta_raw
oppB	gproNOG.ENOG410QIM0.meta_raw
hpaX	gproNOG.ENOG410QI12.meta_raw
group_3439	gproNOG.ENOG410QNB3.meta_raw
STY4288	gproNOG.ENOG410QKD1.meta_raw
poxB	gproNOG.ENOG410QJ4Z.meta_raw
group_5040	gproNOG.ENOG410R58P.meta_raw
tehA	gproNOG.ENOG410QNFQ.meta_raw
hscC	gproNOG.ENOG410QMQU.meta_raw
glgS	gproNOG.ENOG410QWHF.meta_raw
STY2405	gproNOG.ENOG410QNV5.meta_raw
ybaZ	gproNOG.ENOG410QW83.meta_raw
trpH	gproNOG.ENOG410QJHB.meta_raw
stjB	gproNOG.ENOG410QJUH.meta_raw
hofB	gproNOG.ENOG410QI7U.meta_raw
uxaC	gproNOG.ENOG410QINU.meta_raw
STY1020	gproNOG.ENOG410QZ71.meta_raw
parA	gproNOG.ENOG410QS7B.meta_raw
STY4786	gproNOG.ENOG410QIZ0.meta_raw
yfeL	gproNOG.ENOG410QHPT.meta_raw
STY0395	gproNOG.ENOG410QMCS.meta_raw
yjjZ	gproNOG.ENOG410QU6Q.meta_raw
ydfG	gproNOG.ENOG410QJYV.meta_raw
group_2939	gproNOG.ENOG410QTTU.meta_raw
yjiW	gproNOG.ENOG410QTIE.meta_raw
group_4264	gproNOG.ENOG410QTIE.meta_raw
yehE	gproNOG.ENOG410QXHT.meta_raw
ydiZ	gproNOG.ENOG410QUGP.meta_raw
group_4269	gproNOG.ENOG410QKER.meta_raw
waaL	gproNOG.ENOG410QM2D.meta_raw
fabD	gproNOG.ENOG410QHUK.meta_raw
tfpB	gproNOG.ENOG410QQ9S.meta_raw
STY4264	gproNOG.ENOG410QM3C.meta_raw
stjC	gproNOG.ENOG410QQKV.meta_raw
group_3999	gproNOG.ENOG410R94N.meta_raw
pilK	gproNOG.ENOG410QZAU.meta_raw
ppx	gproNOG.ENOG410QI8N.meta_raw
group_2110	gproNOG.ENOG410QMWQ.meta_raw
umuC	gproNOG.ENOG410QJAF.meta_raw
rhaA	gproNOG.ENOG410QJSZ.meta_raw
mobB	gproNOG.ENOG410R15A.meta_raw
group_880	gproNOG.ENOG410QTX3.meta_raw
dcm	gproNOG.ENOG410QJ5P.meta_raw
hyaE	gproNOG.ENOG410QXKR.meta_raw
malK	gproNOG.ENOG410RAR6.meta_raw
xapR	gproNOG.ENOG410QP9B.meta_raw
ssaL	gproNOG.ENOG410QTSK.meta_raw
bioB	gproNOG.ENOG410QK1E.meta_raw
idnT	gproNOG.ENOG410QJY8.meta_raw
STY1522	gproNOG.ENOG410QTFT.meta_raw
group_4618	gproNOG.ENOG410QPSU.meta_raw
ypeA	gproNOG.ENOG410QQ4U.meta_raw
ucpA	gproNOG.ENOG410QSIA.meta_raw
ansB	gproNOG.ENOG410QKUC.meta_raw
flgJ	gproNOG.ENOG410QPYI.meta_raw
impA	gproNOG.ENOG410QU57.meta_raw
ydjF	gproNOG.ENOG410QPBW.meta_raw
ydhJ	gproNOG.ENOG410QKMZ.meta_raw
panE	gproNOG.ENOG410QWE8.meta_raw
hscB	gproNOG.ENOG410QQDE.meta_raw
group_552	gproNOG.ENOG410RAU9.meta_raw
group_1416	gproNOG.ENOG410QJ0H.meta_raw
exbB	gproNOG.ENOG410QIGB.meta_raw
yebR	gproNOG.ENOG410QSIF.meta_raw
yfgL	gproNOG.ENOG410QIHA.meta_raw
group_4610	gproNOG.ENOG410QR51.meta_raw
spoT	gproNOG.ENOG410QIMV.meta_raw
ydcX	gproNOG.ENOG410QWJN.meta_raw
cspE	gproNOG.ENOG410QVKR.meta_raw
group_1417	gproNOG.ENOG410QK9A.meta_raw
ybeJ	gproNOG.ENOG410QREP.meta_raw
gtdA	gproNOG.ENOG410QP0K.meta_raw
ycbW	gproNOG.ENOG410QM6D.meta_raw
hcp	gproNOG.ENOG410QKHR.meta_raw
STY4414	gproNOG.ENOG410R0TD.meta_raw
cas1	gproNOG.ENOG410QJCZ.meta_raw
hycI	gproNOG.ENOG410QR2F.meta_raw
argE	gproNOG.ENOG410QJS9.meta_raw
group_3529	gproNOG.ENOG410QV4N.meta_raw
sopA	gproNOG.ENOG410QSB3.meta_raw
chuR	gproNOG.ENOG410QUR4.meta_raw
yggA	gproNOG.ENOG410QSJW.meta_raw
STY3230	gproNOG.ENOG410QPN9.meta_raw
malI	gproNOG.ENOG410QN7W.meta_raw
STY3998	gproNOG.ENOG410R1R7.meta_raw
group_3718	gproNOG.ENOG410QZR8.meta_raw
group_3150	gproNOG.ENOG410R415.meta_raw
group_2794	gproNOG.ENOG410QJ1V.meta_raw
flgN	gproNOG.ENOG410QTM4.meta_raw
mig-3	gproNOG.ENOG410R15B.meta_raw
group_938	gproNOG.ENOG410QIKF.meta_raw
allD	gproNOG.ENOG410QNPZ.meta_raw
STY0853	gproNOG.ENOG410QKTD.meta_raw
minC	gproNOG.ENOG410QHXT.meta_raw
group_881	gproNOG.ENOG410QWGQ.meta_raw
ccmD	gproNOG.ENOG410QWYQ.meta_raw
yfiP	gproNOG.ENOG410QIYK.meta_raw
yrdD	gproNOG.ENOG410QJ3N.meta_raw
STY4010	gproNOG.ENOG410QU4K.meta_raw
allB	gproNOG.ENOG410QKKW.meta_raw
group_2194	gproNOG.ENOG410QRGI.meta_raw
prsA	gproNOG.ENOG410QI3F.meta_raw
gldA	gproNOG.ENOG410QK31.meta_raw
stiH	gproNOG.ENOG410QMUH.meta_raw
req	gproNOG.ENOG410QND6.meta_raw
glmU	gproNOG.ENOG410QINP.meta_raw
cysE	gproNOG.ENOG410QIXU.meta_raw
STY3031	gproNOG.ENOG410QMUV.meta_raw
yjfK	gproNOG.ENOG410QPTA.meta_raw
thrC	gproNOG.ENOG410QIER.meta_raw
STY3345	gproNOG.ENOG410R4TD.meta_raw
group_213	gproNOG.ENOG410QUEU.meta_raw
ppiA	gproNOG.ENOG410QR1C.meta_raw
group_2460	gproNOG.ENOG410QW66.meta_raw
STY4009	gproNOG.ENOG410QJM7.meta_raw
group_3068	gproNOG.ENOG410QMMN.meta_raw
dppA	gproNOG.ENOG410QIJ0.meta_raw
group_40	gproNOG.ENOG410QM4T.meta_raw
yliH	gproNOG.ENOG410QUKH.meta_raw
STY4607	gproNOG.ENOG410QHW0.meta_raw
STY4535	gproNOG.ENOG410QZF8.meta_raw
rhaS	gproNOG.ENOG410QMY0.meta_raw
shiA	gproNOG.ENOG410QJAC.meta_raw
ygjT	gproNOG.ENOG410QKTR.meta_raw
STY1828	gproNOG.ENOG410QJ9G.meta_raw
group_2807	gproNOG.ENOG410QQBD.meta_raw
srmB	gproNOG.ENOG410QI2F.meta_raw
ygaA	gproNOG.ENOG410RA7T.meta_raw
group_1504	gproNOG.ENOG410R2FR.meta_raw
hscA	gproNOG.ENOG410QHWY.meta_raw
ybiR	gproNOG.ENOG410QKNQ.meta_raw
marR	gproNOG.ENOG410QQEH.meta_raw
nuoM	gproNOG.ENOG410QI6E.meta_raw
sdaA	gproNOG.ENOG410QI63.meta_raw
opcB	gproNOG.ENOG410QP28.meta_raw
group_360	gproNOG.ENOG410QN43.meta_raw
yhhV	gproNOG.ENOG410QXFB.meta_raw
STY1856	gproNOG.ENOG410R2IM.meta_raw
group_910	gproNOG.ENOG410QHWH.meta_raw
yaaU	gproNOG.ENOG410QKVH.meta_raw
fdhD	gproNOG.ENOG410QM3N.meta_raw
gcd	gproNOG.ENOG410QIBX.meta_raw
STY2080	gproNOG.ENOG410QMJF.meta_raw
pyrH	gproNOG.ENOG410QHYJ.meta_raw
group_4629	gproNOG.ENOG410QRRW.meta_raw
yjfM	gproNOG.ENOG410QPD6.meta_raw
kduD	gproNOG.ENOG410QHR2.meta_raw
